PDB,CHAIN,SP_PRIMARY
1a3b,H,P00734
1a3b,L,P00734
1a3e,H,P00734
1a3e,L,P00734
1a3k,A,P17931
1a3n,A,P69905
1a3n,B,P68871
1a3n,C,P69905
1a3n,D,P68871
1a3o,A,P69905
1a3o,B,P68871
1a3o,C,P69905
1a3o,D,P68871
1a3q,A,Q00653
1a3q,B,Q00653
1a3s,A,P63279
1a42,A,P00918
1a46,H,P00734
1a46,L,P00734
1a4i,A,P11586
1a4i,B,P11586
1a4j,A,P01834
1a4j,L,P01834
1a4k,A,P01834
1a4k,L,P01834
1a4p,A,P60903
1a4p,B,P60903
1a4r,A,P60953
1a4r,B,P60953
1a4v,A,P00709
1a4w,H,P00734
1a4w,L,P00734
1a4y,A,P13489
1a4y,B,P03950
1a4y,D,P13489
1a4y,E,P03950
1a52,A,P03372
1a52,B,P03372
1a5e,A,P42771
1a5g,H,P00734
1a5g,L,P00734
1a5h,A,P00750
1a5h,B,P00750
1a5h,C,P00750
1a5h,D,P00750
1a5r,A,P63165
1a5y,A,P18031
1a61,H,P00734
1a61,L,P00734
1a66,A,O95644
1a6a,A,P01903
1a6a,B,P01911
1a6a,C,P04233
1a6q,A,P35813
1a6y,A,P20393
1a6y,B,P20393
1a6z,A,Q30201
1a6z,B,P61769
1a6z,C,Q30201
1a6z,D,P61769
1a7a,A,P23526
1a7a,B,P23526
1a7c,A,P05121
1a7f,A,P01308
1a7f,B,P01308
1a7s,A,P20160
1a7x,A,P62942
1a7x,B,P62942
1a81,A,P43405
1a81,B,P07766
1a81,C,P43405
1a81,D,P07766
1a81,E,P43405
1a81,F,P07766
1a81,G,P43405
1a81,H,P07766
1a81,I,P43405
1a81,J,P07766
1a81,K,P43405
1a81,L,P07766
1a85,A,P22894
1a86,A,P22894
1a8e,A,P02787
1a8f,A,P02787
1a8j,H,P01709
1a8j,L,P01709
1a8m,A,P01375
1a8m,B,P01375
1a8m,C,P01375
1a93,A,P01106
1a9b,A,P01889
1a9b,B,P61769
1a9b,D,P01889
1a9b,E,P61769
1a9e,A,P01889
1a9e,B,P61769
1a9n,A,P09661
1a9n,B,P08579
1a9n,C,P09661
1a9n,D,P08579
1a9u,A,Q16539
1a9w,A,P69905
1a9w,C,P69905
1a9w,E,P02100
1a9w,F,P02100
1aa2,A,Q01082
1aa9,A,P01112
1aap,A,P05067
1aap,B,P05067
1aax,A,P18031
1ab2,A,P00519
1abi,H,P00734
1abi,L,P00734
1abj,H,P00734
1abj,L,P00734
1abn,A,P15121
1abw,A,P69905
1abw,B,P68871
1abw,D,P68871
1aby,A,P69905
1aby,B,P68871
1aby,D,P68871
1ad5,A,P08631
1ad5,B,P08631
1ad6,A,P06400
1ad8,H,P00734
1ad8,L,P00734
1adq,A,P01861
1ads,A,P15121
1adx,A,P07204
1adz,A,P10646
1ae5,A,P20160
1ae8,H,P00734
1ae8,L,P00734
1afe,H,P00734
1afe,L,P00734
1afo,A,P02724
1afo,B,P02724
1agb,A,P01889
1agb,B,P61769
1agc,A,P01889
1agc,B,P61769
1agd,A,P01889
1agd,B,P61769
1age,A,P01889
1age,B,P61769
1agf,A,P01889
1agf,B,P61769
1agn,A,P40394
1agn,B,P40394
1agn,C,P40394
1agn,D,P40394
1agp,A,P01112
1ags,A,P09210
1ags,B,P09210
1agw,A,P11362
1agw,B,P11362
1ah1,A,P16410
1aht,H,P00734
1aht,L,P00734
1ahw,C,P13726
1ahw,F,P13726
1ai0,A,P01308
1ai0,B,P01308
1ai0,C,P01308
1ai0,D,P01308
1ai0,E,P01308
1ai0,F,P01308
1ai0,G,P01308
1ai0,H,P01308
1ai0,I,P01308
1ai0,J,P01308
1ai0,K,P01308
1ai0,L,P01308
1ai8,H,P00734
1ai8,L,P00734
1aie,A,P04637
1aii,A,P12429
1ain,A,P04083
1aiu,A,P10599
1aix,H,P00734
1aix,L,P00734
1aiy,A,P01308
1aiy,B,P01308
1aiy,C,P01308
1aiy,D,P01308
1aiy,E,P01308
1aiy,F,P01308
1aiy,G,P01308
1aiy,H,P01308
1aiy,I,P01308
1aiy,J,P01308
1aiy,K,P01308
1aiy,L,P01308
1aj7,H,P01857
1aj9,A,P69905
1aj9,B,P68871
1aje,A,P60953
1ajj,A,P01130
1ak4,A,P62937
1ak4,B,P62937
1akj,A,P04439
1akj,B,P61769
1akj,D,P01732
1akj,E,P01732
1akz,A,P13051
1ald,A,P04075
1ale,A,P02654
1alf,A,P02654
1alg,A,P00390
1alu,A,P05231
1aly,A,P29965
1am4,A,Q07960
1am4,B,Q07960
1am4,C,Q07960
1am4,D,P60953
1am4,E,P60953
1am4,F,P60953
1am6,A,P00918
1am9,A,P36956
1am9,B,P36956
1am9,C,P36956
1am9,D,P36956
1amb,A,P05067
1amc,A,P05067
1aml,A,P05067
1an0,A,P60953
1an0,B,P60953
1an2,A,P61244
1an4,A,P22415
1an4,B,P22415
1ang,A,P03950
1anp,A,P01160
1ant,I,P01008
1ant,L,P01008
1anw,A,P08758
1anw,B,P08758
1anx,A,P08758
1anx,B,P08758
1anx,C,P08758
1ao6,A,P02768
1ao6,B,P02768
1ao7,A,P04439
1ao7,B,P61769
1ao7,D,A0A075B6T6
1ao7,D,P01848
1ao7,E,P01850
1aoa,A,P13797
1aos,A,P04424
1aos,B,P04424
1aot,F,P06241
1aou,F,P06241
1aox,A,P17301
1aox,B,P17301
1ap4,A,P63316
1ap5,A,P04179
1ap5,B,P04179
1ap6,A,P04179
1ap6,B,P04179
1apq,A,P00736
1apy,A,P20933
1apy,B,P20933
1apy,C,P20933
1apy,D,P20933
1apz,A,P20933
1apz,B,P20933
1apz,C,P20933
1apz,D,P20933
1aq1,A,P24941
1aqc,A,Q02410
1aqc,B,Q02410
1aqd,A,P01903
1aqd,B,P01911
1aqd,C,P04439
1aqd,D,P01903
1aqd,E,P01911
1aqd,F,P04439
1aqd,G,P01903
1aqd,H,P01911
1aqd,I,P04439
1aqd,J,P01903
1aqd,K,P01911
1aqd,L,P04439
1aqk,H,P01857
1aqk,L,P0DOY2
1aqv,A,P09211
1aqv,B,P09211
1aqw,A,P09211
1aqw,B,P09211
1aqw,C,P09211
1aqw,D,P09211
1aqx,A,P09211
1aqx,B,P09211
1aqx,C,P09211
1aqx,D,P09211
1ar2,A,P01593
1as4,A,P01011
1as4,B,P01011
1ath,A,P01008
1ath,B,P01008
1atk,A,P43235
1atu,A,P01009
1au0,A,P43235
1au1,A,P01574
1au1,B,P01574
1au2,A,P43235
1au3,A,P43235
1au4,A,P43235
1au8,A,P08311
1auc,A,P10599
1aud,A,P09012
1aue,A,P42345
1aue,B,P42345
1aui,A,Q08209
1aui,B,P63098
1auk,A,P15289
1aut,C,P04070
1aut,L,P04070
1av1,A,P02647
1av1,B,P02647
1av1,C,P02647
1av1,D,P02647
1av5,A,P49773
1av5,B,P49773
1avf,A,P20142
1avf,J,P20142
1avf,P,P20142
1avf,Q,P20142
1avh,A,P08758
1avh,B,P08758
1avn,A,P00918
1avo,A,Q06323
1avo,B,Q06323
1avo,C,Q06323
1avo,D,Q06323
1avo,E,Q06323
1avo,F,Q06323
1avo,G,Q06323
1avo,H,Q06323
1avo,I,Q06323
1avo,J,Q06323
1avo,K,Q06323
1avo,L,Q06323
1avo,M,Q06323
1avo,N,Q06323
1avr,A,P08758
1avz,C,P06241
1aw0,A,Q04656
1awb,A,P29218
1awb,B,P29218
1awe,A,Q07889
1awf,H,P00734
1awf,L,P00734
1awh,A,P00734
1awh,B,P00734
1awh,C,P00734
1awh,D,P00734
1awi,A,P07737
1awi,B,P07737
1awo,A,P00519
1awq,A,P62937
1awr,A,P62937
1awr,B,P62937
1awr,C,P62937
1awr,D,P62937
1awr,E,P62937
1awr,F,P62937
1aws,A,P62937
1awt,A,P62937
1awt,B,P62937
1awt,C,P62937
1awt,D,P62937
1awt,E,P62937
1awt,F,P62937
1awu,A,P62937
1awv,A,P62937
1awv,B,P62937
1awv,C,P62937
1awv,D,P62937
1awv,E,P62937
1awv,F,P62937
1aww,A,Q06187
1awx,A,Q06187
1awz,A,P03950
1ax8,A,P41159
1axc,A,P12004
1axc,B,P38936
1axc,C,P12004
1axc,D,P38936
1axc,E,P12004
1axc,F,P38936
1axi,A,P01241
1axi,B,P10912
1axm,A,P05230
1axm,B,P05230
1axm,C,P05230
1axm,D,P05230
1axm,E,P05230
1axm,F,P05230
1axn,A,P12429
1axs,A,Q7Z3Y4
1axs,B,P01857
1axs,H,P01857
1axs,L,Q7Z3Y4
1ay6,H,P00734
1ay6,L,P00734
1aye,A,P48052
1ayk,A,P03956
1ayp,A,P14555
1ayp,B,P14555
1ayp,C,P14555
1ayp,D,P14555
1ayp,E,P14555
1ayp,F,P14555
1ayu,A,P43235
1ayv,A,P43235
1ayw,A,P43235
1az1,A,P15121
1az2,A,P15121
1aze,A,P62993
1azg,A,P27986
1azg,B,P06241
1azm,A,P00915
1azv,A,P00441
1azv,B,P00441
1azx,I,P01008
1azx,L,P01008
1b08,A,P35247
1b08,B,P35247
1b08,C,P35247
1b09,A,P02741
1b09,B,P02741
1b09,C,P02741
1b09,D,P02741
1b09,E,P02741
1b0f,A,P08246
1b0g,A,P04439
1b0g,B,P61769
1b0g,C,Q9NPA0
1b0g,D,P04439
1b0g,E,P61769
1b0g,F,Q9NPA0
1b0l,A,P02788
1b0r,A,P04439
1b0r,B,P61769
1b0w,A,P01594
1b0w,B,P01594
1b0w,C,P01594
1b1c,A,P16435
1b1e,A,P03950
1b1i,A,P03950
1b1j,A,P03950
1b22,A,Q06609
1b2i,A,P00747
1b2t,A,P78423
1b2y,A,P04746
1b34,A,P62314
1b34,B,P62316
1b38,A,P24941
1b39,A,P24941
1b3a,A,P13501
1b3a,B,P13501
1b3d,A,P08254
1b3d,B,P08254
1b3e,A,P02787
1b3j,A,Q29983
1b3k,A,P05121
1b3k,B,P05121
1b3k,C,P05121
1b3k,D,P05121
1b3o,A,P12268
1b3o,B,P12268
1b3u,A,P30153
1b3u,B,P30153
1b41,A,P22303
1b47,A,P22681
1b47,B,P22681
1b47,C,P22681
1b4f,A,P29323
1b4f,B,P29323
1b4f,C,P29323
1b4f,D,P29323
1b4f,E,P29323
1b4f,F,P29323
1b4f,G,P29323
1b4f,H,P29323
1b4g,A,Q03721
1b4i,A,Q03721
1b4q,A,P35754
1b50,A,P10147
1b50,B,P10147
1b53,A,P10147
1b53,B,P10147
1b55,A,Q06187
1b55,B,Q06187
1b56,A,Q01469
1b59,A,P50579
1b5g,H,P00734
1b5g,L,P00734
1b5u,A,P61626
1b5v,A,P61626
1b5w,A,P61626
1b5x,A,P61626
1b5y,A,P61626
1b5z,A,P61626
1b5z,B,P61626
1b64,A,P24534
1b68,A,P02649
1b6a,A,P50579
1b6c,A,P62942
1b6c,B,P36897
1b6c,C,P62942
1b6c,D,P36897
1b6c,E,P62942
1b6c,F,P36897
1b6c,G,P62942
1b6c,H,P36897
1b6e,A,Q13241
1b6u,A,P43628
1b72,A,P14653
1b72,B,P40424
1b7l,A,P61626
1b7m,A,P61626
1b7n,A,P61626
1b7o,A,P61626
1b7p,A,P61626
1b7q,A,P61626
1b7r,A,P61626
1b7s,A,P61626
1b7x,A,P00734
1b7x,B,P00734
1b86,A,P69905
1b86,B,P68871
1b86,C,P69905
1b86,D,P68871
1b8k,A,P20783
1b8m,A,P23560
1b8m,B,P34130
1b8y,A,P08254
1b98,A,P34130
1b98,M,P34130
1b9e,A,P01308
1b9e,B,P01308
1b9e,C,P01308
1b9e,D,P01308
1b9g,A,P05019
1b9o,A,P00709
1ba4,A,P05067
1ba5,A,P54274
1ba6,A,P05067
1ba8,A,P00734
1ba8,B,P00734
1ba9,A,P00441
1bab,A,P69905
1bab,B,P68871
1bab,C,P69905
1bab,D,P68871
1bak,A,P25098
1bas,A,P09038
1bb0,A,P00734
1bb0,B,P00734
1bb3,A,P61626
1bb3,B,P61626
1bb4,A,P61626
1bb4,B,P61626
1bb5,A,P61626
1bb5,B,P61626
1bbb,A,P69905
1bbb,B,P68871
1bbb,C,P69905
1bbb,D,P68871
1bbc,A,P14555
1bbj,B,P01861
1bbj,H,P01861
1bbn,A,P05112
1bbr,F,P02671
1bbr,G,P02671
1bbr,I,P02671
1bbs,A,P00797
1bbs,B,P00797
1bby,A,P13984
1bbz,A,P00519
1bbz,C,P00519
1bbz,E,P00519
1bbz,G,P00519
1bc7,C,P28324
1bc8,C,P28324
1bc9,A,Q15438
1bcd,A,P00918
1bci,A,P47712
1bck,A,P62937
1bcn,A,P05112
1bcu,H,P00734
1bcu,L,P00734
1bd2,A,P04439
1bd2,B,P61769
1bd2,D,P04437
1bd2,D,P01848
1bd2,E,A0A0K0K1A5
1bd2,E,A0A5B9
1bd8,A,P55273
1bd9,A,P30086
1bd9,B,P30086
1bda,A,P00750
1bda,B,P00750
1beh,A,P30086
1beh,B,P30086
1ben,A,P01308
1ben,B,P01308
1ben,C,P01308
1ben,D,P01308
1bey,H,P01857
1bey,L,Q6GMX0
1bf5,A,P42224
1bf9,A,P08709
1bfb,A,P09038
1bfc,A,P09038
1bff,A,P09038
1bfg,A,P09038
1bg2,A,P33176
1bgo,A,P43235
1bh0,A,P01275
1bh5,A,Q04760
1bh5,B,Q04760
1bh5,C,Q04760
1bh5,D,Q04760
1bh7,A,P02730
1bh8,A,Q15543
1bh8,B,Q15544
1bh9,A,Q15543
1bh9,B,Q15544
1bhf,A,P06239
1bhg,A,P08236
1bhg,B,P08236
1bhh,A,P06239
1bhh,B,P06239
1bhi,A,P15336
1bho,1,P11215
1bho,2,P11215
1bhq,1,P11215
1bhq,2,P11215
1bhs,A,P14061
1bht,A,P14210
1bht,B,P14210
1bhx,A,P00734
1bhx,B,P00734
1bhx,F,P00734
1bi7,A,Q00534
1bi7,B,P42771
1bi8,A,Q00534
1bi8,B,P55273
1bi8,C,Q00534
1bi8,D,P55273
1bic,A,P00918
1bij,A,P69905
1bij,B,P68871
1bij,C,P69905
1bij,D,P68871
1bik,A,P02760
1bil,A,P00797
1bil,B,P00797
1bim,A,P00797
1bim,B,P00797
1bio,A,P00746
1biw,A,P08254
1biw,B,P08254
1bix,A,P27695
1bj1,V,P15692
1bj1,W,P15692
1bj4,A,P34896
1bj5,A,P02768
1bj8,A,P40189
1bjb,A,P05067
1bjc,A,P05067
1bjx,A,P07237
1bka,A,P02788
1bkc,A,P78536
1bkc,C,P78536
1bkc,E,P78536
1bkc,I,P78536
1bkd,R,P01112
1bkd,S,Q07889
1bke,A,P02768
1bkf,A,P62942
1bkr,A,Q01082
1bkz,A,P47929
1bkz,B,P47929
1bl1,A,Q03431
1bl4,A,P62942
1bl4,B,P62942
1bl6,A,Q16539
1bl7,A,Q16539
1bla,A,P09038
1bld,A,P09038
1blr,A,P29373
1blx,A,Q00534
1bm0,A,P02768
1bm0,B,P02768
1bm2,A,P62993
1bm5,A,P29373
1bm6,A,P08254
1bm7,A,P02766
1bm7,B,P02766
1bmb,A,P62993
1bmk,A,Q16539
1bml,A,P00747
1bml,B,P00747
1bmm,H,P00734
1bmm,L,P00734
1bmn,H,P00734
1bmn,L,P00734
1bmo,A,P09486
1bmo,B,P09486
1bmp,A,P18075
1bmq,A,P29466
1bmq,B,P29466
1bmz,A,P02766
1bmz,B,P02766
1bn1,A,P00918
1bn3,A,P00918
1bn4,A,P00918
1bn5,A,P50579
1bnd,A,P23560
1bnd,B,P20783
1bnk,A,P29372
1bnl,A,P39060
1bnl,B,P39060
1bnl,C,P39060
1bnl,D,P39060
1bnm,A,P00918
1bnn,A,P00918
1bnq,A,P00918
1bnt,A,P00918
1bnu,A,P00918
1bnv,A,P00918
1bnw,A,P00918
1bnx,A,P02730
1bo0,A,P80098
1bo1,A,P78356
1bo1,B,P78356
1bo9,A,P04083
1boa,A,P50579
1boe,A,P24593
1bor,A,P29590
1boy,A,P13726
1boz,A,P00374
1bp1,A,P17213
1bp3,A,P01241
1bp3,B,P16471
1bp5,A,P02787
1bp5,B,P02787
1bp5,C,P02787
1bp5,D,P02787
1bpx,A,P06746
1bpy,A,P06746
1bpz,A,P06746
1bqo,A,P08254
1bqo,B,P08254
1bqq,M,P50281
1bqs,A,Q13477
1bqt,A,P05019
1bqu,A,P40189
1bqu,B,P40189
1br8,I,P01008
1br8,L,P01008
1br9,A,P16035
1brc,I,P05067
1brp,A,P02753
1brq,A,P02753
1bsi,A,P04746
1bsx,A,P10828
1bsx,B,P10828
1bt6,A,P60903
1bt6,B,P60903
1bth,H,P00734
1bth,J,P00734
1bth,K,P00734
1bth,L,P00734
1btj,A,P02787
1btj,B,P02787
1btk,A,Q06187
1btk,B,Q06187
1btq,A,P02730
1btr,A,P02730
1bts,A,P02730
1btt,A,P02730
1bu1,A,P08631
1bu1,B,P08631
1bu1,C,P08631
1bu1,D,P08631
1bu1,E,P08631
1bu1,F,P08631
1bu9,A,P42773
1buh,A,P24941
1buh,B,P61024
1bui,A,P00747
1bui,B,P00747
1buo,A,Q05516
1buv,M,P50281
1buw,A,P69905
1buw,B,P68871
1buw,C,P69905
1buw,D,P68871
1buy,A,P01588
1bv3,A,P00918
1bv8,A,P01023
1bw6,A,P07199
1bwc,A,P00390
1bwn,A,Q06187
1bwn,B,Q06187
1bww,A,P01593
1bww,B,P01593
1bwx,A,P01270
1bx2,A,P01903
1bx2,B,P01911
1bx2,C,P02686
1bx2,D,P01903
1bx2,E,P01911
1bx2,F,P02686
1bx4,A,P55263
1bxl,A,Q07817
1bxl,B,Q16611
1by1,A,Q14155
1by2,A,Q08380
1by4,A,P19793
1by4,B,P19793
1by4,C,P19793
1by4,D,P19793
1by6,A,P02655
1by7,A,P05120
1by8,A,P43235
1byg,A,P41240
1byq,A,P07900
1byw,A,Q12809
1bz0,A,P69905
1bz0,B,P68871
1bz0,C,P69905
1bz0,D,P68871
1bz1,A,P69905
1bz1,B,P68871
1bz1,C,P69905
1bz1,D,P68871
1bz4,A,P02649
1bz8,A,P02766
1bz8,B,P02766
1bzc,A,P18031
1bzd,A,P02766
1bzd,B,P02766
1bze,A,P02766
1bze,B,P02766
1bzg,A,P12272
1bzh,A,P18031
1bzj,A,P18031
1bzk,A,P02730
1bzm,A,P00915
1bzs,A,P22894
1bzy,A,P00492
1bzy,B,P00492
1bzy,C,P00492
1bzy,D,P00492
1bzz,A,P69905
1bzz,B,P68871
1bzz,C,P69905
1bzz,D,P68871
1c07,A,P42566
1c0f,S,P06396
1c0g,S,P06396
1c15,A,O14727
1c16,B,P61769
1c16,D,P61769
1c16,F,P61769
1c16,H,P61769
1c1u,H,P00734
1c1u,L,P00734
1c1v,H,P00734
1c1v,L,P00734
1c1w,H,P00734
1c1w,L,P00734
1c1y,A,P62834
1c1y,B,P04049
1c1z,A,P02749
1c25,A,P30304
1c26,A,P04637
1c3d,A,P01024
1c3i,A,P08254
1c3i,B,P08254
1c3t,A,P0CG48
1c43,A,P61626
1c45,A,P61626
1c46,A,P61626
1c4u,1,P00734
1c4u,2,P00734
1c4v,1,P00734
1c4v,2,P00734
1c4y,1,P00734
1c4y,2,P00734
1c4z,A,Q05086
1c4z,B,Q05086
1c4z,C,Q05086
1c4z,D,P68036
1c5g,A,P05121
1c5l,H,P00734
1c5l,L,P00734
1c5m,D,P00742
1c5m,F,P00742
1c5n,H,P00734
1c5n,L,P00734
1c5o,H,P00734
1c5o,L,P00734
1c5w,A,P00749
1c5w,B,P00749
1c5x,A,P00749
1c5x,B,P00749
1c5y,A,P00749
1c5y,B,P00749
1c5z,A,P00749
1c5z,B,P00749
1c7b,A,P69905
1c7b,B,P68871
1c7b,C,P69905
1c7b,D,P68871
1c7c,A,P69905
1c7c,B,P68871
1c7c,D,P68871
1c7d,A,P69905
1c7d,B,P68871
1c7d,D,P68871
1c7p,A,P61626
1c7u,A,Q02078
1c7u,B,Q02078
1c83,A,P18031
1c84,A,P18031
1c85,A,P18031
1c86,A,P18031
1c87,A,P18031
1c88,A,P18031
1c8p,A,P32927
1c8q,A,P0DUB6
1c8t,A,P08254
1c8t,B,P08254
1c98,A,P08949
1c9a,A,P08949
1c9b,A,Q00403
1c9b,B,P20226
1c9b,E,Q00403
1c9b,F,P20226
1c9b,I,Q00403
1c9b,J,P20226
1c9b,M,Q00403
1c9b,N,P20226
1c9b,Q,Q00403
1c9b,R,P20226
1c9h,A,P68106
1c9q,A,P98170
1c9y,A,P00480
1ca0,D,P05067
1ca0,I,P05067
1ca2,A,P00918
1ca3,A,P00918
1ca4,A,Q12933
1ca4,B,Q12933
1ca4,C,Q12933
1ca4,D,Q12933
1ca4,E,Q12933
1ca4,F,Q12933
1ca7,A,P14174
1ca7,B,P14174
1ca7,C,P14174
1ca8,A,P00734
1ca8,B,P00734
1ca9,A,Q12933
1ca9,B,Q12933
1ca9,C,Q12933
1ca9,D,Q12933
1ca9,E,Q12933
1ca9,F,Q12933
1ca9,G,P20333
1ca9,H,P20333
1cah,A,P00918
1cai,A,P00918
1caj,A,P00918
1cak,A,P00918
1cal,A,P00918
1cam,A,P00918
1can,A,P00918
1cao,A,P00918
1caq,A,P08254
1cay,A,P00918
1caz,A,P00918
1cb0,A,Q13126
1cb3,A,P00709
1cb5,A,Q13867
1cb5,B,Q13867
1cb5,C,Q13867
1cb6,A,P02788
1cbl,A,P68871
1cbl,B,P68871
1cbl,C,P68871
1cbl,D,P68871
1cbm,A,P68871
1cbm,B,P68871
1cbm,C,P68871
1cbm,D,P68871
1cbq,A,P29373
1cbs,A,P29373
1cc0,A,P61586
1cc0,C,P61586
1cc0,E,P52565
1cc0,F,P52565
1ccs,A,P00918
1cct,A,P00918
1ccu,A,P00918
1ccz,A,P19256
1cd0,A,P01721
1cd0,B,P01721
1cd8,A,P01732
1cd9,A,P09919
1cd9,C,P09919
1cdb,A,P06729
1cdh,A,P01730
1cdi,A,P01730
1cdj,A,P01730
1cdl,A,P0DP23
1cdl,B,P0DP23
1cdl,C,P0DP23
1cdl,D,P0DP23
1cdq,A,P13987
1cdr,A,P13987
1cds,A,P13987
1cdu,A,P01730
1cdw,A,P20226
1cdy,A,P01730
1cdz,A,P18887
1ce1,H,Q6PYX1
1ce6,B,P61769
1cea,A,P00747
1cea,B,P00747
1ceb,A,P00747
1ceb,B,P00747
1cee,A,P60953
1cee,B,P42768
1cf0,A,P07737
1cf0,B,P07737
1cf4,A,P60953
1cf4,B,Q07912
1cf7,A,Q16254
1cf7,B,Q14188
1cfa,A,P01031
1cff,B,P23634
1cfg,A,P00451
1cfh,A,P00740
1cfi,A,P00740
1cg6,A,Q13126
1cg9,A,P01889
1cg9,B,P61769
1cge,A,P03956
1cgf,A,P03956
1cgf,B,P03956
